Latitude,Longitude,district
24.66818,71.33144,Kutch
24.66818,71.41106,Kutch
24.66818,71.49069,Surendranagar
24.66818,71.57031,Kutch
24.66818,71.64994,Junagadh
24.66818,71.72956,Dungarpur
24.66818,71.80919,Mahesana
24.66818,71.88882,Nashik
24.66818,71.96844,Anand
24.66818,72.04807,Aravalli
24.66818,72.12769,Devbhumi
24.66818,72.20732,Surat
24.66818,72.28694,Amreli
24.66818,72.36657,Kutch
24.58758,71.25181,Jamnagar
24.58758,71.33144,Amreli
24.58758,71.41106,Bhavnagar
24.58758,71.49069,Gandhinagar
24.58758,71.57031,Valsad
24.58758,71.64994,Alirajpur
24.58758,71.72956,Junagadh
24.58758,71.80919,Bhavnagar
24.58758,71.88882,Bharuch
24.58758,71.96844,Nandurbar
24.58758,72.04807,Kutch
24.58758,72.12769,Ahmedabad
24.58758,72.20732,Surat
24.58758,72.28694,Botad
24.58758,72.36657,Mahesana
24.50698,71.25181,Rajkot
24.50698,71.33144,Sanchore
24.50698,71.41106,Mahesana
24.50698,71.49069,Vadodara
24.50698,71.57031,Kutch
24.50698,71.64994,Ahmedabad
24.50698,71.72956,Kutch
24.50698,71.80919,Jamnagar
24.50698,71.88882,Banaskantha
24.50698,71.96844,Junagadh
24.50698,72.04807,Junagadh
24.50698,72.12769,Morbi
24.50698,72.20732,Tapi
24.50698,72.28694,Panchmahal
24.50698,72.36657,Bharuch
24.50698,72.44619,Kutch
24.50698,72.60544,Aravalli
24.50698,72.68507,Jamnagar
24.42638,71.33144,Vadodara
24.42638,71.41106,Patan
24.42638,71.49069,Ahmedabad
24.42638,71.57031,Kutch
24.42638,71.64994,Kutch
24.42638,71.72956,Vadodara
24.42638,71.80919,Kheda
24.42638,71.88882,Sabarkantha
24.42638,71.96844,Kutch
24.42638,72.04807,Kutch
24.42638,72.12769,Surat
24.42638,72.20732,Kutch
24.42638,72.28694,Surendranagar
24.42638,72.36657,Tapi
24.42638,72.44619,Kutch
24.42638,72.52582,Jamnagar
24.42638,72.60544,Dahod
24.42638,72.68507,Panchmahal
24.42638,73.00357,Panchmahal
24.42638,73.08319,Kheda
24.42638,73.16282,Dahod
24.34578,71.25181,Surendranagar
24.34578,71.33144,Aravalli
24.34578,71.41106,Banswara
24.34578,71.49069,Ahmedabad
24.34578,71.57031,Banaskantha
24.34578,71.64994,Kutch
24.34578,71.72956,Mahesana
24.34578,71.80919,Sabarkantha
24.34578,71.88882,Ahmedabad
24.34578,71.96844,Sirohi
24.34578,72.04807,Narmada
24.34578,72.12769,Amreli
24.34578,72.20732,Banaskantha
24.34578,72.28694,Kutch
24.34578,72.36657,Amreli
24.34578,72.44619,Bhavnagar
24.34578,72.52582,Bhavnagar
24.34578,72.60544,Porbandar
24.34578,72.68507,Surat
24.34578,73.00357,Gir
24.34578,73.08319,Junagadh
24.34578,73.16282,Morbi
24.34578,73.24244,Gir
24.26518,71.25181,Kutch
24.26518,71.33144,Kutch
24.26518,71.41106,Tapi
24.26518,71.49069,Amreli
24.26518,71.57031,Narmada
24.26518,71.64994,Junagadh
24.26518,71.72956,Devbhumi
24.26518,71.80919,Banaskantha
24.26518,71.88882,Gir
24.26518,71.96844,Gandhinagar
24.26518,72.04807,Amreli
24.26518,72.12769,Ahmedabad
24.26518,72.20732,Surendranagar
24.26518,72.28694,Surendranagar
24.26518,72.36657,Banaskantha
24.26518,72.44619,Devbhumi
24.26518,72.52582,Rajkot
24.26518,72.60544,Surendranagar
24.26518,72.68507,Amreli
24.26518,72.76469,Rajkot
24.26518,72.84432,Sabarkantha
