Algorithm,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2,timestamp,features
LinearRegression(),91.72717191528436,61.653868290836996,0.5683623692657014,108.67681151095493,76.97505665281733,0.28860888086843584,2024-03-07 00:54:47.309559,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation']"
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=10)",62.147911531645484,36.90248553798487,0.7971707216438264,88.28427651262301,55.57189689927216,0.5078026890881978,2024-03-07 00:54:47.309559,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation']"
LinearRegression(),91.72717191528436,61.653868290836996,0.5683623692657014,108.67681151095493,76.97505665281733,0.28860888086843584,2024-03-07 00:55:18.955115,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation', 'avg_precipitation_quality']"
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=10)",62.147911531645484,36.90248553798487,0.7971707216438264,88.28427651262301,55.57189689927216,0.5078026890881978,2024-03-07 00:55:18.955115,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation', 'avg_precipitation_quality']"
LinearRegression(),91.67569148537733,61.65668316448854,0.5688405395963142,108.70672503746728,77.04905638051325,0.2881722294502043,2024-03-07 01:03:38.356977,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation', 'precipitation_cluster']"
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=10)",63.08192569498797,37.59410501099817,0.7921026718285498,87.39482266961112,55.210341517434166,0.5153335388522595,2024-03-07 01:03:38.356977,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation', 'precipitation_cluster']"
LinearRegression(),91.67609648547545,61.65801996221481,0.5688369869434091,108.70213419006781,77.04308568587048,0.28823973097024436,2024-03-07 01:08:24.189617,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation', 'precipitation_cluster']"
"DecisionTreeRegressor(max_depth=10, min_samples_leaf=10)",62.14791055676721,36.90241948002939,0.7971707290156999,88.28427530548525,55.57173565232095,0.5078026989232637,2024-03-07 01:08:24.189617,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation', 'precipitation_cluster']"
"RandomForestRegressor(max_depth=10, min_samples_leaf=10)",58.043878517615276,34.886519413533364,0.8220008386502605,82.31643195642718,51.67806354254548,0.5744512652386707,2024-03-07 01:08:24.189617,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation', 'precipitation_cluster']"
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=10, max_leaves=None,
             min_child_weight=None, min_samples_leaf=10, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=100,
             n_jobs=None, num_parallel_tree=None, ...)",6.980026595893704,3.7189568369202353,0.9973417152750262,75.80252040605687,47.4317557492789,0.6295270683368729,2024-03-07 01:08:24.189617,"['distname', 'std_elevation', 'max_elevation', 'avg_elevation', 'min_elevation', 'biomass_lag1', 'biomass_lag2', 'biomass_lag3', 'biomass_lag4', 'biomass_lag5', 'cum_precipitation', 'precipitation_cluster']"
