median_cropland,netgain,lat,min_cropland,index,distname,block_max_elevation,lon,block_std_elevation,block_avg_elevation,year,biomass
4.0,8.3125,24.66818,60.0,0,jalor,15,71.33144,3.5014282800023198,9.8,2010,8.475744247
22.0,22.875,24.66818,90.0,1,jalor,25,71.41106,4.331281565541543,15.8,2010,24.02977753
79.5,44.25,24.66818,94.0,2,banas kantha,33,71.49069,5.674504383644443,23.0,2010,44.83163452
86.5,25.9375,24.66818,95.0,3,banas kantha,42,71.57031,5.858967485828881,31.85,2010,59.97441864
88.0,25.875,24.66818,99.0,4,jalor,57,71.64994,7.260165287374662,41.7,2010,14.6533699
83.5,24.875,24.66818,95.0,5,jalor,68,71.72956,7.578093427769282,51.65,2010,17.41663933
86.0,10.8125,24.66818,94.0,6,jalor,79,71.80919,8.235745260752058,67.15,2010,23.56865692
95.5,9.1875,24.66818,98.0,7,banas kantha,101,71.88882,7.857480512225276,88.4,2010,48.34523392
93.0,5.0625,24.66818,98.0,8,jalor,132,71.96844,9.190212184710427,112.2,2010,58.78428268
89.5,5.875,24.66818,99.0,9,banas kantha,175,72.04807,12.466354719804825,142.3,2010,67.90737915
90.0,7.0,24.66818,99.0,10,jalor,191,72.12769,12.039933554633931,170.2,2010,8.916523933
87.0,18.4375,24.66818,99.0,11,jalor,253,72.20732,18.84482687636053,208.15,2010,3.416373968
87.5,23.875,24.66818,99.0,12,jalor,273,72.28694,15.719017144847191,240.25,2010,2.298105955
63.0,27.75,24.66818,95.0,13,sirohi,447,72.36657,48.30175980230948,299.8,2010,0.405263782
0.0,0.0625,24.58758,1.0,14,kachchh,10,71.25181,3.52703841770968,4.4,2010,0.378063947
16.0,23.5,24.58758,85.0,15,banas kantha,22,71.33144,5.101715397785338,11.65,2010,45.17411041
85.5,36.8125,24.58758,99.0,16,banas kantha,30,71.41106,5.783381363873561,20.05,2010,56.53974152
90.5,19.375,24.58758,97.0,17,banas kantha,35,71.49069,4.241462012089699,28.1,2010,139.3889465
91.0,14.0625,24.58758,98.0,18,banas kantha,44,71.57031,4.881342028581893,36.65,2010,140.0259857
89.0,12.1875,24.58758,98.0,19,banas kantha,53,71.64994,4.805205510693585,46.9,2010,51.76260757
85.5,15.0625,24.58758,98.0,20,banas kantha,69,71.72956,6.010615609070339,59.15,2010,61.17729568
87.0,13.875,24.58758,93.0,21,banas kantha,85,71.80919,7.302568041449528,73.85,2010,84.54468536
94.0,7.0625,24.58758,98.0,22,banas kantha,105,71.88882,8.040366907050945,93.45,2010,99.1736145
93.0,3.375,24.58758,98.0,23,banas kantha,133,71.96844,7.981227975693966,115.0,2010,150.2328644
95.0,2.0,24.58758,99.0,24,banas kantha,159,72.04807,11.124185363432236,139.45,2010,144.6105194
96.5,2.625,24.58758,99.0,25,banas kantha,189,72.12769,11.181569657252956,169.15,2010,45.69966888
90.5,6.125,24.58758,99.0,26,banas kantha,233,72.20732,15.988746042138512,199.4,2010,24.97690392
91.0,9.3125,24.58758,100.0,27,sirohi,257,72.28694,14.663816010847926,225.35,2010,19.92323303
92.5,17.0625,24.58758,100.0,28,sirohi,314,72.36657,23.43773666547177,253.35,2010,6.596181393
0.0,1.4375,24.50698,12.0,29,kachchh,8,71.25181,2.179449471770337,3.5,2010,0.14898251
13.5,14.375,24.50698,81.0,30,kachchh,21,71.33144,5.625611077918558,7.45,2010,33.44884491
80.0,27.0,24.50698,97.0,31,banas kantha,21,71.41106,4.31161222746202,15.1,2010,65.62121582
92.5,10.5625,24.50698,99.0,32,banas kantha,32,71.49069,4.689349635077342,23.9,2010,121.0332336
90.5,19.3125,24.50698,98.0,33,banas kantha,42,71.57031,4.196427051671457,33.7,2010,117.2946014
85.0,18.75,24.50698,96.0,34,banas kantha,57,71.64994,6.10307299645023,47.55,2010,121.5485306
84.0,12.5,24.50698,96.0,35,banas kantha,75,71.72956,5.893004327166238,62.35,2010,102.3113708
87.5,9.375,24.50698,96.0,36,banas kantha,92,71.80919,7.403377607551841,78.7,2010,136.3761597
92.5,9.625,24.50698,97.0,37,banas kantha,112,71.88882,8.78564169540279,97.25,2010,141.9011383
92.0,11.0,24.50698,96.0,38,banas kantha,138,71.96844,9.211270270706423,120.05,2010,77.37073517
87.0,5.375,24.50698,97.0,39,banas kantha,156,72.04807,9.812746812182612,140.1,2010,54.08869171
88.5,3.8125,24.50698,99.0,40,banas kantha,181,72.12769,9.525754563287888,164.4,2010,44.4982605
91.5,5.0625,24.50698,99.0,41,banas kantha,209,72.20732,9.841747812253676,190.8,2010,53.13540268
90.5,5.8125,24.50698,99.0,42,banas kantha,239,72.28694,13.1805728251848,211.15,2010,75.98052216
69.0,13.375,24.50698,96.0,43,banas kantha,245,72.36657,16.054516498481043,216.55,2010,30.84760094
39.0,12.25,24.50698,83.0,44,sirohi,273,72.44619,21.221392508504245,232.95,2010,1.716194034
37.0,5.1875,24.50698,64.0,45,sirohi,655,72.60544,113.98038208393584,326.85,2010,0.40073213
54.0,2.5625,24.50698,84.0,46,sirohi,886,72.68507,175.45406093903895,338.15,2010,1.185710669
3.5,10.1875,24.42638,71.0,47,kachchh,11,71.33144,2.9342801502242417,4.7,2010,9.411384583
68.5,25.1875,24.42638,97.0,48,banas kantha,17,71.41106,3.4132096331752027,10.5,2010,53.4867363
91.5,11.5,24.42638,97.0,49,banas kantha,35,71.49069,5.730619512757761,23.4,2010,67.84522247
90.5,13.1875,24.42638,98.0,50,banas kantha,48,71.57031,5.726255320888163,33.9,2010,92.29341125
86.0,9.5625,24.42638,96.0,51,banas kantha,63,71.64994,6.232174580353153,48.4,2010,107.6716156
89.5,6.9375,24.42638,97.0,52,banas kantha,83,71.72956,6.980508577460528,65.15,2010,83.22322083
92.0,8.25,24.42638,97.0,53,banas kantha,97,71.80919,7.606576102294645,83.2,2010,99.09132385
93.0,7.75,24.42638,98.0,54,banas kantha,118,71.88882,8.745713235637217,102.75,2010,127.3641663
93.5,9.0625,24.42638,99.0,55,banas kantha,155,71.96844,11.482486664481696,124.45,2010,134.515976
95.5,4.0,24.42638,99.0,56,banas kantha,155,72.04807,9.30309088421692,137.45,2010,134.364975
91.5,2.0,24.42638,100.0,57,banas kantha,185,72.12769,10.88760763437037,158.6,2010,73.74102783
92.0,2.8125,24.42638,99.0,58,banas kantha,202,72.20732,13.922194510923916,176.85,2010,90.24049377
81.0,8.5,24.42638,99.0,59,banas kantha,211,72.28694,16.066346815626755,184.65,2010,60.56772232
68.5,8.1875,24.42638,95.0,60,banas kantha,247,72.36657,16.868313490091417,200.4,2010,57.37684631
18.5,4.5,24.42638,50.0,61,banas kantha,607,72.44619,98.2769047131624,273.5,2010,11.39565468
6.5,2.75,24.42638,39.0,62,banas kantha,720,72.52582,142.50728928725016,319.65,2010,4.738157749
37.5,2.0625,24.42638,77.0,63,banas kantha,659,72.60544,123.95398339706554,291.1,2010,30.51318932
45.5,3.9375,24.42638,84.0,64,sirohi,624,72.68507,87.07244110509365,266.7,2010,13.23116207
9.5,1.9375,24.42638,66.0,65,sabar kantha,894,73.00357,133.87919928054544,466.6,2010,2.702456951
27.0,7.9375,24.42638,66.0,66,sabar kantha,567,73.08319,83.93108780422186,381.15,2010,6.119395733
20.0,8.125,24.42638,75.0,67,udaipur,625,73.16282,83.06592261571528,401.45,2010,0.386530042
0.0,0.0,24.34578,0.0,68,kachchh,6,71.25181,1.5652475842498528,3.5,2010,0.134468749
0.5,7.8125,24.34578,43.0,69,kachchh,16,71.33144,3.9420806688854046,6.4,2010,4.911758423
59.5,13.125,24.34578,94.0,70,banas kantha,23,71.41106,6.302975487815258,14.15,2010,92.46127319
92.0,7.5625,24.34578,99.0,71,banas kantha,44,71.49069,6.873681691786433,27.55,2010,93.44713593
91.5,10.0,24.34578,96.0,72,banas kantha,47,71.57031,5.44609952167604,37.2,2010,84.33163452
86.5,9.25,24.34578,96.0,73,banas kantha,56,71.64994,5.44609952167604,48.2,2010,92.72156525
92.0,5.0,24.34578,97.0,74,banas kantha,79,71.72956,7.247585804942222,62.85,2010,116.8768768
93.0,3.3125,24.34578,97.0,75,banas kantha,94,71.80919,7.7966338890575075,80.25,2010,161.7230072
93.0,4.625,24.34578,100.0,76,banas kantha,113,71.88882,6.4156059729381765,97.8,2010,156.6812439
95.0,3.8125,24.34578,100.0,77,banas kantha,143,71.96844,8.887631855561976,115.9,2010,104.4928513
96.0,1.3125,24.34578,100.0,78,banas kantha,143,72.04807,7.533093654004308,129.95,2010,156.5196533
95.0,1.125,24.34578,100.0,79,banas kantha,159,72.12769,7.238093671679029,144.9,2010,125.321701
90.5,4.0625,24.34578,100.0,80,banas kantha,175,72.20732,11.684498277632636,153.15,2010,97.76548004
58.5,7.625,24.34578,87.0,81,banas kantha,185,72.28694,14.472301130089852,158.95,2010,26.56175041
63.5,7.875,24.34578,89.0,82,banas kantha,245,72.36657,19.03312901233005,186.2,2010,29.05064201
45.0,7.8125,24.34578,84.0,83,banas kantha,403,72.44619,68.06855000659262,233.85,2010,26.89700508
48.0,4.9375,24.34578,91.0,84,banas kantha,444,72.52582,68.96767358697842,228.6,2010,42.6721077
16.5,2.0625,24.34578,77.0,85,banas kantha,356,72.60544,44.71811713388658,251.3,2010,30.7830658
6.0,2.625,24.34578,46.0,86,banas kantha,619,72.68507,94.97814222230292,359.45,2010,8.128576279
24.5,4.8125,24.34578,66.0,87,sabar kantha,814,73.00357,150.2761707656939,387.65,2010,6.069386959
47.0,15.0,24.34578,69.0,88,sabar kantha,392,73.08319,33.91058094459604,297.65,2010,40.56517792
39.0,12.5625,24.34578,71.0,89,sabar kantha,384,73.16282,32.310834096321315,322.1,2010,8.164513588
10.5,5.25,24.34578,61.0,90,udaipur,836,73.24244,137.7588472657927,444.0,2010,0.111496143
0.0,1.5,24.26518,20.0,91,kachchh,14,71.25181,2.711088342345192,5.5,2010,0.713384688
47.0,18.0625,24.26518,99.0,92,banas kantha,14,71.33144,2.808469333996724,8.75,2010,33.02660751
92.5,12.5,24.26518,99.0,93,banas kantha,24,71.41106,4.077683165720456,17.15,2010,131.5767822
92.0,5.75,24.26518,99.0,94,banas kantha,33,71.49069,4.174625731727337,25.35,2010,107.4426956
87.0,11.25,24.26518,97.0,95,banas kantha,53,71.57031,6.304760106459246,35.5,2010,66.1418457
88.0,8.4375,24.26518,95.0,96,banas kantha,58,71.64994,5.433921236087251,47.85,2010,91.01392365
92.0,1.8125,24.26518,98.0,97,banas kantha,67,71.72956,5.455272678794342,58.8,2010,110.8129807
93.0,6.0,24.26518,97.0,98,banas kantha,87,71.80919,6.920982589199311,76.0,2010,112.7805557
93.5,6.4375,24.26518,100.0,99,banas kantha,109,71.88882,7.863841300534999,93.4,2010,121.9540329
